language,typology,PMI,DD
English,SVO,4.636190842701482,1
English,SVO,6.313903811855824,1
English,SVO,12.407013216247305,1
English,SVO,3.648956604100694,1
English,SVO,1.1932761079243377,1
English,SVO,1.9846286460609797,1
English,SVO,5.901850570692691,1
English,SVO,1.8097666908472663,2
English,SVO,4.884805355481407,1
English,SVO,4.741216741982116,3
English,SVO,2.0444398755656445,2
English,SVO,0.010611598399407092,1
English,SVO,5.825370019473523,1
English,SVO,2.386813666588601,2
English,SVO,3.9040819879676487,3
English,SVO,4.783060619231919,3
English,SVO,1.5919276454637117,1
English,SVO,2.1932761079243375,2
English,SVO,3.3062369635739013,1
English,SVO,5.20550187174716,1
English,SVO,3.678702935094579,1
English,SVO,-0.407829753537215,1
English,SVO,3.384937671047567,1
English,SVO,3.275138220259684,1
English,SVO,3.2162892357831447,2
English,SVO,1.4069382082825423,1
English,SVO,1.40596867374969,2
English,SVO,-0.2004904879286771,4
English,SVO,1.1709990243472204,9
English,SVO,3.7006721707605,1
English,SVO,-0.20308884675235922,1
English,SVO,3.5001226206387868,2
English,SVO,5.0267283489634424,3
English,SVO,2.2606434259396204,4
English,SVO,3.3544451654431517,1
English,SVO,3.0813865197755588,2
English,SVO,2.3260180824537375,1
English,SVO,12.407013216247305,2
English,SVO,2.2606434259396204,4
English,SVO,2.8631275062320065,2
English,SVO,0.8389515455863472,1
English,SVO,-3.639895840918564,26
English,SVO,0.32849703050870427,1
English,SVO,3.7678343765381976,1
English,SVO,-0.3329888428731773,11
English,SVO,3.2133235958072937,1
English,SVO,1.1316585990950672,2
English,SVO,-3.639895840918564,4
English,SVO,2.2599143133547948,54
English,SVO,5.07348512467615,1
English,SVO,1.1932761079243377,1
English,SVO,2.115987902115605,1
English,SVO,5.918034015371741,1
English,SVO,-0.06995443703938341,3
English,SVO,2.2277261116013016,3
English,SVO,3.620262111328314,1
English,SVO,6.797465077247876,1
English,SVO,4.311506303136618,2
English,SVO,7.412659779388447,1
English,SVO,12.407013216247305,2
English,SVO,3.648956604100694,5
English,SVO,1.1932761079243377,1
English,SVO,1.8097666908472663,2
English,SVO,4.884805355481407,1
English,SVO,4.741216741982116,3
English,SVO,2.0444398755656445,2
English,SVO,0.010611598399407092,1
English,SVO,1.7210809833628393,12
English,SVO,4.851092703339702,1
English,SVO,1.7152288111196934,1
English,SVO,2.476381466201639,1
English,SVO,2.941436183419527,2
English,SVO,8.589389958735874,3
English,SVO,2.9728411149568847,4
English,SVO,1.7375966241481482,1
English,SVO,3.816925239256348,1
English,SVO,4.897161508318246,5
English,SVO,2.954428763006283,1
English,SVO,5.0874247176762735,1
English,SVO,2.3210797761631765,1
English,SVO,4.319051426592699,8
English,SVO,3.3567758526073836,1
English,SVO,1.0351976857746668,21
English,SVO,5.825370019473523,1
English,SVO,0.7665261724137772,1
English,SVO,2.000631029981942,1
English,SVO,2.4690019358360416,1
English,SVO,2.6849646986640616,1
English,SVO,2.840615569124256,2
English,SVO,4.105814279074164,4
English,SVO,3.3105725732315583,1
English,SVO,2.687054047386789,2
English,SVO,3.804546314416734,4
English,SVO,11.13755254125408,1
English,SVO,2.3966308091703534,3
English,SVO,5.272244660218609,1
English,SVO,2.4434548026567384,4
English,SVO,0.3136644318665512,1
English,SVO,4.296403989342552,1
English,SVO,-0.6479568852597295,8
English,SVO,2.7938295850711423,3
English,SVO,2.657410386844547,1
English,SVO,2.8235778121578874,1
English,SVO,3.674951812633638,1
English,SVO,3.061449562168287,1
English,SVO,-0.6479568852597295,7
English,SVO,6.570353766956551,1
English,SVO,5.0950379017861485,2
English,SVO,1.2701613779216985,17
English,SVO,3.4248277010010058,2
English,SVO,0.24790399353893208,28
English,SVO,3.674951812633638,1
English,SVO,2.7658646188360727,3
English,SVO,3.4248277010010058,2
English,SVO,2.2350962836189647,2
English,SVO,6.997622280109603,1
English,SVO,5.518210288967235,3
English,SVO,11.13755254125408,1
English,SVO,-0.24448655950481105,3
English,SVO,6.148731485253334,1
